File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
ARMCacheCoherence-PT-none,16,132,8.25,5.125,3.9375,0,1.625,0.625
ASLink-PT-01a,16,153,9.5625,5.5,5.875,0,1.25,1
ASLink-PT-01b,16,134,8.375,4.75,4.5625,0,1.4375,0.625
ASLink-PT-02a,16,125,7.8125,5,4.75,0,1.9375,0.375
ASLink-PT-02b,16,133,8.3125,4.875,4.625,0,1.5,0.625
ASLink-PT-03a,16,136,8.5,4.8125,4.25,0,1.375,0.6875
ASLink-PT-03b,16,122,7.625,4.4375,4.25,0,1.375,0.5625
ASLink-PT-04a,16,143,8.9375,5.5,4.8125,0,1.4375,0.875
ASLink-PT-04b,16,129,8.0625,5.6875,5.125,0,1.8125,0.6875
ASLink-PT-05a,16,98,6.125,3.875,3.25,0,1.1875,0.5
ASLink-PT-05b,16,144,9,4.75,4.625,0,1.4375,0.625
ASLink-PT-06a,16,126,7.875,4.875,4.375,0,1.5,0.625
ASLink-PT-06b,16,128,8,4.5625,4.3125,0,0.875,0.9375
ASLink-PT-07a,16,106,6.625,3.75,3.6875,0,1.3125,0.375
ASLink-PT-07b,16,113,7.0625,4.5625,3.625,0,1.25,0.6875
ASLink-PT-08a,16,122,7.625,5.5625,5.0625,0,1.75,0.6875
ASLink-PT-08b,16,161,10.0625,5.4375,5.625,0,1.125,1.0625
ASLink-PT-09a,16,134,8.375,5.0625,4.5,0,1.6875,0.5625
ASLink-PT-09b,16,140,8.75,4.6875,4.25,0,1.3125,0.6875
ASLink-PT-10a,16,159,9.9375,5.8125,5.6875,0,1.3125,1.0625
ASLink-PT-10b,16,117,7.3125,4.0625,4.25,0,0.8125,0.8125
AirplaneLD-COL-0010,16,119,7.4375,4.0625,3.5625,0,1.1875,0.5625
AirplaneLD-COL-0020,16,144,9,5.25,4.3125,0,1.3125,0.875
AirplaneLD-COL-0050,16,114,7.125,4.125,3.5,0,1.5,0.375
AirplaneLD-COL-0100,16,110,6.875,4.5,3.4375,0,1.5,0.5
AirplaneLD-COL-0200,16,149,9.3125,5.4375,4.375,0,1.5,0.8125
AirplaneLD-COL-0500,16,98,6.125,3.9375,2.875,0,1.3125,0.4375
AirplaneLD-COL-1000,16,110,6.875,4.25,3.0625,0,1.1875,0.625
AirplaneLD-COL-2000,16,134,8.375,5,3.75,0,1.375,0.75
AirplaneLD-COL-4000,16,132,8.25,4.3125,3.9375,0,1.5,0.4375
AirplaneLD-PT-0010,16,122,7.625,3.625,4.5,0,0.6875,0.75
AirplaneLD-PT-0020,16,137,8.5625,5.3125,4.5625,0,1.4375,0.8125
AirplaneLD-PT-0050,16,117,7.3125,4,3.625,0,1.4375,0.375
AirplaneLD-PT-0100,16,103,6.4375,3.5,2.9375,0,1.1875,0.375
AirplaneLD-PT-0200,16,170,10.625,5.6875,4.75,0,1.8125,0.6875
AirplaneLD-PT-0500,16,112,7,3.25,3.875,0,0.6875,0.625
AirplaneLD-PT-1000,16,111,6.9375,3.8125,3,0,1.25,0.4375
AirplaneLD-PT-2000,16,164,10.25,5.3125,5,0,1.625,0.6875
AirplaneLD-PT-4000,16,130,8.125,4.6875,4.1875,0,1.5,0.5625
Angiogenesis-PT-01,16,116,7.25,4.25,3.9375,0,1.5625,0.375
Angiogenesis-PT-05,16,113,7.0625,4,3.625,0,1.25,0.5
Angiogenesis-PT-10,16,155,9.6875,5.3125,5.0625,0,1.0625,1.0625
Angiogenesis-PT-15,16,133,8.3125,4.4375,4.4375,0,1.1875,0.6875
Angiogenesis-PT-20,16,179,11.1875,5.875,5.5,0,1.25,1.125
Angiogenesis-PT-25,16,112,7,4.5,3.625,0,1.3125,0.625
Angiogenesis-PT-50,16,139,8.6875,5.25,5.4375,0,1.3125,0.875
AutoFlight-PT-01a,16,133,8.3125,5.4375,4.1875,0,1.6875,0.6875
AutoFlight-PT-01b,16,115,7.1875,3.875,3.375,0,0.8125,0.75
AutoFlight-PT-02a,16,119,7.4375,4.3125,4.3125,0,1.125,0.6875
AutoFlight-PT-02b,16,104,6.5,4.1875,3.5,0,1.625,0.3125
AutoFlight-PT-03a,16,142,8.875,5.25,4.9375,0,1.6875,0.625
AutoFlight-PT-03b,16,114,7.125,4,3.4375,0,1.4375,0.375
