File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
AirplaneLD-COL-0010-CTLCardinality-00,256,4679,18.2773,6.66797,5.66016,3.17578,0,1.16406
AutoFlight-PT-96b-CTLCardinality-00,416,8679,20.863,7.55288,6.3726,3.66587,0,1.29567
BART-PT-060-CTLCardinality-00,16,122,7.625,3.125,2.4375,1.0625,0,0.6875
BridgeAndVehicles-COL-V04P05N02-CTLCardinality-00,112,1546,13.8036,5.15179,4.375,2.41964,0,0.910714
BusinessProcesses-PT-20-CTLCardinality-00,208,3954,19.0096,6.94231,5.84135,3.27885,0,1.22115
CANConstruction-PT-100-CTLCardinality-00,320,6473,20.2281,7.32188,6.175,3.5625,0,1.25313
CSRepetitions-PT-03-CTLCardinality-00,160,2486,15.5375,5.71875,4.875,2.75625,0,0.9875
CircularTrains-PT-768-CTLCardinality-00,384,7980,20.7812,7.58073,6.38542,3.67448,0,1.30208
CloudDeployment-PT-7b-CTLCardinality-00,352,7275,20.6676,7.54261,6.35227,3.63068,0,1.30398
CloudOpsManagement-PT-20480by10240-CTLCardinality-00,48,577,12.0208,4.66667,3.83333,2.29167,0,0.791667
DES-PT-60b-CTLCardinality-00,144,2370,16.4583,6,5.10417,2.91667,0,1.02778
DNAwalker-PT-18lozangeBlock-CTLCardinality-00,288,5539,19.2326,6.98264,5.92708,3.38889,0,1.19792
DiscoveryGPU-PT-15b,224,4077,18.2009,6.66071,5.62946,3.15179,0,1.16964
FlexibleBarrier-PT-22b-CTLCardinality-00,464,9912,21.3621,7.73491,6.50647,3.77155,0,1.32112
GlobalResAllocation-PT-05-CTLCardinality-00,64,992,15.5,5.6875,4.67188,2.78125,0,0.96875
HealthRecord-PT-17-CTLCardinality-00,80,1329,16.6125,6.0875,5.1125,3.0125,0,1.025
HexagonalGrid-PT-816-CTLCardinality-00,432,9128,21.1296,7.67824,6.46528,3.7338,0,1.31481
HouseConstruction-PT-32000-CTLCardinality-00,480,10283,21.4229,7.74583,6.5125,3.78333,0,1.32083
IBM703-PT-none-CTLCardinality-00,272,5194,19.0956,6.99632,5.94118,3.35662,0,1.21324
Parking-PT-864-CTLCardinality-00,96,1443,15.0312,5.59375,4.70833,2.6875,0,0.96875
RERS17pb115-PT-9-CTLCardinality-00,128,1904,14.875,5.50781,4.66406,2.69531,0,0.9375
Railroad-PT-100-CTLCardinality-00,32,235,7.34375,2.96875,2.375,1.1875,0,0.59375
RobotManipulation-PT-10000-CTLCardinality-00,192,3529,18.3802,6.72917,5.67188,3.16667,0,1.1875
SatelliteMemory-PT-X03000Y0094-CTLCardinality-00,336,6883,20.4851,7.48512,6.30357,3.61905,0,1.28869
SemanticWebServices-PT-S256P18-CTLCardinality-00,304,6003,19.7467,7.18421,6.09539,3.49342,0,1.23026
SharedMemory-PT-000200-CTLCardinality-00,400,8293,20.7325,7.5175,6.3475,3.6625,0,1.285
SimpleLoadBal-PT-10-CTLCardinality-00,368,7670,20.8424,7.625,6.42663,3.69565,0,1.30978
SmartHome-PT-19-CTLCardinality-00,448,9536,21.2857,7.72098,6.5,3.75,0,1.32366
UtilityControlRoom-PT-Z4T4N10,176,2985,16.9602,6.23295,5.30114,2.96023,0,1.09091
VehicularWifi-COL-none,240,4560,19,6.92083,5.85,3.30833,0,1.20417
