File,NumProperties,TotalSize,AvgSize,AvgAtomicComplexity,AvgNumAtoms,AvgSimpleAtoms,AvgComparisonAtoms,AvgBooleanAtoms
m106_ctl_properties,20,482,24.1,3.45,9.25,0,0,1.15
m131_ctl_properties,20,643,32.15,3.6,13.05,0,0,1.2
m132_ctl_properties,20,1681,84.05,3.6,27.1,0,0,1.2
m135_ctl_properties,20,477,23.85,3.45,9.15,0,0,1.15
m158_ctl_properties,20,354,17.7,3.45,6.7,0,0,1.15
m159_ctl_properties,20,393,19.65,3.45,7.25,0,0,1.15
m164_ctl_properties,20,333,16.65,3.45,6.2,0,0,1.15
m167_ctl_properties,20,384,19.2,3.6,6.6,0,0,1.2
m172_ctl_properties,20,354,17.7,3.75,6.65,0,0,1.25
m173_ctl_properties,20,1167,58.35,3.45,18.6,0,0,1.15
m181_ctl_properties,20,820,41,3.45,13.15,0,0,1.15
m182_ctl_properties,20,1178,58.9,3.6,18.2,0,0,1.2
m183_ctl_properties,19,226,11.8947,3.63158,5.15789,0,0,1.21053
m185_ctl_properties,20,931,46.55,3.45,16,0,0,1.15
m189_ctl_properties,20,1212,60.6,3.45,21.45,0,0,1.15
m190_ctl_properties,20,573,28.65,3.75,10.7,0,0,1.25
m196_ctl_properties,20,405,20.25,3.45,8.05,0,0,1.15
m199_ctl_properties,20,446,22.3,3.6,7.5,0,0,1.2
m201_ctl_properties,20,831,41.55,3.3,15.4,0,0,1.1
m22_ctl_properties,20,436,21.8,3.45,8.6,0,0,1.15
m24_ctl_properties,20,700,35,3.45,11.85,0,0,1.15
m27_ctl_properties,20,937,46.85,3.3,17.75,0,0,1.1
m41_ctl_properties,20,369,18.45,3.75,7.25,0,0,1.25
m45_ctl_properties,20,610,30.5,3.6,12.35,0,0,1.2
m49_ctl_properties,20,591,29.55,3.6,11.4,0,0,1.2
m54_ctl_properties,20,326,16.3,3.45,6.9,0,0,1.15
m55_ctl_properties,20,1266,63.3,3.6,17.15,0,0,1.2
m65_ctl_properties,20,1264,63.2,3.45,20.65,0,0,1.15
m76_ctl_properties,20,633,31.65,3.75,12,0,0,1.25
m95_ctl_properties,20,347,17.35,3.75,7.1,0,0,1.25
